Time,Rain,Solar Rad,Prędkość wiatru  [m/s],Temperatura powietrza [°C],Wilgotność względna [%],Ciśnienie na poziomie stacji [hPa],Facade_Orientation,Floor_Level,Area,Insulation,Temperature
08:00:00,0,69,3,13.6,91,995.5,N,1,green,uninsulated,16.6
09:00:00,0,101,3,14.9,82,995.4,N,1,green,uninsulated,16.4
10:00:00,0,89,3,16.9,68,995.2,N,1,green,uninsulated,15.1
11:00:00,0,256,3,19.4,57,994.5,N,1,green,uninsulated,15.9
12:00:00,0,461,2,20.1,56,994.1,N,1,green,uninsulated,18.3
13:00:00,0,994,5,21,48,993.6,N,1,green,uninsulated,19.9
14:00:00,0,578,6,21.3,47,993.5,N,1,green,uninsulated,21.9
15:00:00,0,345,6,21.1,48,993.2,N,1,green,uninsulated,23.0
16:00:00,0,176,4,21.2,51,992.8,N,1,green,uninsulated,22.0
17:00:00,0,280,6,21.9,49,992.8,N,1,green,uninsulated,23.1
18:00:00,0,198,6,20.8,53,992.8,N,1,green,uninsulated,22.8
19:00:00,0,81,4,19.4,60,993.2,N,1,green,uninsulated,22.9
20:00:00,0,47,4,15.6,93,994.6,N,1,green,uninsulated,22.8
21:00:00,0,5,4,15.5,94,995.3,N,1,green,uninsulated,20.8
22:00:00,0.76,0,5,15.3,93,996.2,N,1,green,uninsulated,18.7
23:00:00,0,0,3,14.6,90,996.8,N,1,green,uninsulated,16.7
00:00:00,0,0,2,12.9,94,997.3,N,1,green,uninsulated,16.5
01:00:00,0,0,1,11.8,96,997.7,N,1,green,uninsulated,16.0
02:00:00,0,0,2,11.6,96,997.8,N,1,green,uninsulated,14.9
03:00:00,0,0,1,11.5,94,998.1,N,1,green,uninsulated,14
04:00:00,0,0,1,11.9,92,998.5,N,1,green,uninsulated,13.5
05:00:00,0,5,4,14.5,81,998.9,N,1,green,uninsulated,13.2
06:00:00,0,54,2,16.6,75,999.1,N,1,green,uninsulated,13.3
07:00:00,0,207,3,18.3,66,999.2,N,1,green,uninsulated,14.4
08:00:00,0,354,4,19.1,56,999.2,N,1,green,uninsulated,20.1
09:00:00,0,456,4,19.3,57,998.9,N,1,green,uninsulated,24.2
10:00:00,0,520,5,19.7,53,998.9,N,1,green,uninsulated,23.0
11:00:00,0,355,7,22.6,49,998.3,N,1,green,uninsulated,22.2
12:00:00,0,358,8,22.5,48,997.9,N,1,green,uninsulated,22.4
13:00:00,0,617,5,21.6,49,997.9,N,1,green,uninsulated,24.0
14:00:00,0,522,1,20.9,56,997.9,N,1,green,uninsulated,24.4
15:00:00,0,234,2,22.3,48,997.5,N,1,green,uninsulated,24.2
16:00:00,0,97,2,22.6,49,997.1,N,1,green,uninsulated,22.2
17:00:00,0,211,4,22.4,46,997.4,N,1,green,uninsulated,22.7
18:00:00,0,283,3,21.3,51,997.4,N,1,green,uninsulated,24.2
19:00:00,0,105,3,19.6,56,997.7,N,1,green,uninsulated,23.5
20:00:00,0,37,2,17.5,66,998.2,N,1,green,uninsulated,22.6
21:00:00,0,10,1,16.5,70,998.4,N,1,green,uninsulated,21.4
22:00:00,0,0,2,15.8,75,998.5,N,1,green,uninsulated,20.1
23:00:00,0,0,2,17,70,998.5,N,1,green,uninsulated,19.1
00:00:00,0,0,0,15.5,75,998.3,N,1,green,uninsulated,18.1
01:00:00,0,0,1,14.3,82,998.2,N,1,green,uninsulated,18
02:00:00,0,0,2,14.4,82,997.7,N,1,green,uninsulated,17.5
03:00:00,0,0,2,13.7,86,997.6,N,1,green,uninsulated,16.1
04:00:00,0,0,1,14.8,83,997.6,N,1,green,uninsulated,15.6
05:00:00,0,4,2,17.6,73,997.2,N,1,green,uninsulated,15.0
06:00:00,0,48,4,19.9,66,997.3,N,1,green,uninsulated,14.9
